userName,content,at
Kendra. time,"""It want let me follow anyone and it won't let me go to public it also won't let me follow them and it won't let me share the videos and it won't let me see the other videos and whenever it says relaunch it doesn't work it just shows up something different it doesn't even have the comment section or anything""",29-11-2022 20:47
Denise Moses,"""There no better app than this app its the best it only makes your data run fast""",29-11-2022 20:47
ROSSELE GUIBAO DABU,"""Excellent""",29-11-2022 20:47
Md Israfil EA,"""MD israfil""",29-11-2022 20:45
danielson214,"""Great app for streamers and find people""",29-11-2022 20:44
Kimberley Jones,"""Good""",29-11-2022 20:44
Nakalule Patricia,"""I like more people to follow me and the app z very good""",29-11-2022 20:43
William Leatherwood,"""It is saying I have too many attempts but I am using Mikey and will and it says too many attempts I wish I could five it a 0.""",29-11-2022 20:43
Ufot Favour,"""Great app""",29-11-2022 20:41
Darlene Patrick,"""Love this app""",29-11-2022 20:38
Mijos Laikinas,"""I didn't get new voice changer..""",29-11-2022 20:38
Susan Dather,"""I just don't care if she's pregnant with number 4 because I don't have any idea who she is LoL why are you showing me this""",29-11-2022 20:37
Abbie Hort,"""Lots of fun""",29-11-2022 20:37
